test_name,pump,fermenter,filtration,distillation,dehydration,diameter,friction_factor,input_flow,ethanol_kg,power_kWh,power_generated_kWh,daily_cost,energy_return,facility_cost,total_cost,threshold_flow,score_build_cost,score_op_cost,score_power_return,score_flow_threshold,composite_score
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.15|Fric:0.002,Cheap,Premium,Scrap,Average,Scrap,0.15,0.002,0.01,1.3549911786635773,192842.49969468385,937155.2588814474,10251.739091356236,4.859692548920441,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.15|Fric:0.01,Cheap,Premium,Scrap,Average,Scrap,0.15,0.01,0.01,1.3549911786635773,192842.49969468385,937155.2588814474,10251.739091356236,4.859692548920441,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.15|Fric:0.02,Cheap,Premium,Scrap,Average,Scrap,0.15,0.02,0.01,1.3549911786635773,192842.49969468385,937155.2588814474,10251.739091356236,4.859692548920441,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.15|Fric:0.03,Cheap,Premium,Scrap,Average,Scrap,0.15,0.03,0.01,1.3549911786635773,192842.49969468385,937155.2588814474,10251.739091356236,4.859692548920441,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.15|Fric:0.04,Cheap,Premium,Scrap,Average,Scrap,0.15,0.04,0.01,1.3549911786635773,192842.49969468385,937155.2588814474,10251.739091356236,4.859692548920441,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.15|Fric:0.05,Cheap,Premium,Scrap,Average,Scrap,0.15,0.05,0.01,1.3549911786635773,192842.49969468385,937155.2588814474,10251.739091356236,4.859692548920441,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.14|Fric:0.002,Cheap,Premium,Scrap,Average,Scrap,0.14,0.002,0.01,1.3549911786635773,192842.52736294773,937155.2588814474,10251.739091356236,4.8596918516714585,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06441356760703,53.33333333333333,84.65426358812071
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.14|Fric:0.01,Cheap,Premium,Scrap,Average,Scrap,0.14,0.01,0.01,1.3549911786635773,192842.52736294773,937155.2588814474,10251.739091356236,4.8596918516714585,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06441356760703,53.33333333333333,84.65426358812071
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.14|Fric:0.02,Cheap,Premium,Scrap,Average,Scrap,0.14,0.02,0.01,1.3549911786635773,192842.52736294773,937155.2588814474,10251.739091356236,4.8596918516714585,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06441356760703,53.33333333333333,84.65426358812071
P:Cheap|F:Premium|Fi:Scrap|D:Average|De:Scrap|Dia:0.14|Fric:0.03,Cheap,Premium,Scrap,Average,Scrap,0.14,0.03,0.01,1.3549911786635773,192842.52736294773,937155.2588814474,10251.739091356236,4.8596918516714585,200000,210251.73909135623,0.04,100.0,90.84707385931904,81.06441356760703,53.33333333333333,84.65426358812071
